Status,Year,Reason,Total_Number_Outage_Events,Month
Approved,2016,Consequential,24,1
Approved,2016,Consequential,23,2
Approved,2016,Consequential,7,3
Approved,2016,Consequential,36,5
Approved,2016,Consequential,12,6
Approved,2016,Consequential,23,7
Approved,2016,Consequential,6,8
Approved,2016,Consequential,1,9
Approved,2016,Consequential,15,10
Approved,2016,Consequential,25,11
Approved,2016,Consequential,9,12
Approved,2016,Forced,134,1
Approved,2016,Forced,149,2
Approved,2016,Forced,94,3
Approved,2016,Forced,87,4
Approved,2016,Forced,100,5
Approved,2016,Forced,113,6
Approved,2016,Forced,79,7
Approved,2016,Forced,152,8
Approved,2016,Forced,96,9
Approved,2016,Forced,67,10
Approved,2016,Forced,127,11
Approved,2016,Forced,66,12
Approved,2016,Opportunistic Maintenance (Planned),9,1
Approved,2016,Opportunistic Maintenance (Planned),12,2
Approved,2016,Opportunistic Maintenance (Planned),14,3
Approved,2016,Opportunistic Maintenance (Planned),3,4
Approved,2016,Opportunistic Maintenance (Planned),4,5
Approved,2016,Opportunistic Maintenance (Planned),14,6
Approved,2016,Opportunistic Maintenance (Planned),13,7
Approved,2016,Opportunistic Maintenance (Planned),7,8
Approved,2016,Opportunistic Maintenance (Planned),11,9
Approved,2016,Opportunistic Maintenance (Planned),5,10
Approved,2016,Opportunistic Maintenance (Planned),7,11
Approved,2016,Opportunistic Maintenance (Planned),7,12
Approved,2016,Scheduled (Planned),24,1
Approved,2016,Scheduled (Planned),43,2
Approved,2016,Scheduled (Planned),21,3
Approved,2016,Scheduled (Planned),45,4
Approved,2016,Scheduled (Planned),33,5
Approved,2016,Scheduled (Planned),30,6
Approved,2016,Scheduled (Planned),31,7
Approved,2016,Scheduled (Planned),29,8
Approved,2016,Scheduled (Planned),16,9
Approved,2016,Scheduled (Planned),37,10
Approved,2016,Scheduled (Planned),41,11
Approved,2017,Consequential,12,1
Approved,2017,Consequential,27,2
Approved,2017,Consequential,19,3
Approved,2017,Consequential,12,4
Approved,2017,Consequential,5,5
Approved,2017,Consequential,8,6
Approved,2017,Consequential,1,7
Approved,2017,Consequential,2,8
Approved,2017,Consequential,10,9
Approved,2017,Consequential,11,10
Approved,2017,Consequential,9,11
Approved,2017,Consequential,11,12
Approved,2017,Forced,70,1
Approved,2017,Forced,97,2
Approved,2017,Forced,53,3
Approved,2017,Forced,73,4
Approved,2017,Forced,109,5
Approved,2017,Forced,168,6
Approved,2017,Forced,183,7
Approved,2017,Forced,173,8
Approved,2017,Forced,133,9
Approved,2017,Forced,207,10
Approved,2017,Forced,146,11
Approved,2017,Forced,210,12
Approved,2017,Opportunistic Maintenance (Planned),9,1
Approved,2017,Opportunistic Maintenance (Planned),6,2
Approved,2017,Opportunistic Maintenance (Planned),7,3
Approved,2017,Opportunistic Maintenance (Planned),8,4
Approved,2017,Opportunistic Maintenance (Planned),9,5
Approved,2017,Opportunistic Maintenance (Planned),7,6
Approved,2017,Opportunistic Maintenance (Planned),5,7
Approved,2017,Opportunistic Maintenance (Planned),14,8
Approved,2017,Opportunistic Maintenance (Planned),7,9
Approved,2017,Opportunistic Maintenance (Planned),8,10
Approved,2017,Opportunistic Maintenance (Planned),16,11
Approved,2017,Opportunistic Maintenance (Planned),6,12
Approved,2017,Scheduled (Planned),12,1
Approved,2017,Scheduled (Planned),20,2
Approved,2017,Scheduled (Planned),30,3
Approved,2017,Scheduled (Planned),34,4
Approved,2017,Scheduled (Planned),47,5
Approved,2017,Scheduled (Planned),17,6
Approved,2017,Scheduled (Planned),22,7
Approved,2017,Scheduled (Planned),23,8
Approved,2017,Scheduled (Planned),18,9
Approved,2017,Scheduled (Planned),50,10
Approved,2017,Scheduled (Planned),27,11
Approved,2017,Scheduled (Planned),20,12
