Participant_Code,Status,Year,Average_Outage_Duration_Time_Days
AURICON,Approved,2016,0.32
AURICON,Approved,2017,0.24
AUXC,Approved,2017,0.3
AUXC,Approved,2016,0.09
COLLGAR,Approved,2017,3.09
COLLGAR,Approved,2016,1.59
DNHR,Approved,2017,0.26
DNHR,Approved,2016,0.25
ENRG,Approved,2016,7.16
ENRG,Approved,2017,6.42
EUCT,Approved,2016,4.04
EUCT,Approved,2017,0.27
GW,Approved,2017,1.02
GW,Approved,2016,0.97
KORL,Approved,2016,2.12
KORL,Approved,2017,1.49
MCG,Approved,2016,0.81
MCG,Approved,2017,0.17
MELK,Approved,2017,5.82
MELK,Approved,2016,2.19
MUND,Approved,2016,1.65
MUND,Approved,2017,0.52
PJRH,Approved,2016,1.91
PJRH,Approved,2017,1.85
PMC,Approved,2016,0.56
PMC,Approved,2017,0.4
PUG,Approved,2016,1.61
PUG,Approved,2017,0.34
STHRNCRS,Approved,2016,0.4
STHRNCRS,Approved,2017,0.37
TRMOS,Approved,2016,0.7
TRMOS,Approved,2017,0.09
TSLA_MGT,Approved,2017,0.79
TSLA_MGT,Approved,2016,0.64
WGUTD,Approved,2016,1.29
WGUTD,Approved,2017,1.28
